lang,domain,description
en,leboncoin.fr,
en,leetchi.com,
fr,lemonde.fr,"Le Monde.fr - 1er site d'information. Les articles du journal et toute l'actualité en continu : International, France, Société, Economie, Culture, Environnement, Blogs ..."
fr,leparisien.fr,"Retrouvez toute l'actualité en direct, en photos et en vidéo sur l'actualité politique, sociale, économique et sportive avec Le Parisien."
fr,lesechos.fr,"Retrouvez sur LesEchos.fr toute l'actualité économique et financière en France et dans le monde, découvrez des analyses exclusives, dossiers spéciaux, vidéos et podcasts."
fr,lesfurets.com,"lesfurets.com, le comparateur d'assurances, de finances et de fournisseurs d'énergie, vous fait économiser GRATUITEMENT en moyenne 49% sur le prix de votre assurance"
en,lesoir.be,
en,lingvist.com,
en,linkedin.com,"675 million+ members | Manage your professional identity. Build and engage with your professional network. Access knowledge, insights and opportunities."
fr,linkinfluent.com,"Utilisez la puissance de Linkedin pour générer des clients, être visible, recevoir des opportunités. Stratégies de l'expert LinkedIn : Yannick BOUISSIERE"
en,liquidweb.com,"Liquid Web is a leader in Managed Hosting solutions for mission critical sites & apps. When uptime and reliability are non-negotiable, trust Liquid Web!"
fr,little-big-change.com,"Little Big Change - Les couches bébés efficaces, saines et respectueuses de la peau. Livraison offerte et sans engagement !"
en,lottiefiles.com,LottieFiles is a collection of animations designed for Lottie - gone are the days of bugging your developer
en,lydia-app.com,"Instantly send money to friends and pay contactless anywhere with your phone. Shared accounts, money pots, card with no fees abroad, and more..."
en,madparis.fr,
en,malt.fr,
en,manypixels.co,ManyPixels offers unlimited graphic and web design services for a flat monthly fee. Get your personal graphic designer in a few clicks.
en,medium.com,
en,meetup.com,Find Meetups so you can do more of what matters to you. Or create your own group and meet people near you who share your interests.
fr,meilleursagents.com,"Obtenez gratuitement une estimation en ligne du prix de votre bien immobilier, puis engagez les meilleures agences immobilières partenaires de MeilleursAgents.com pour vendre votre bien immobilier au meilleur prix."
fr,melty.fr,"Actualité live des séries, cinéma, musique, jeux-vidéo, sport. Le spot de la Youth culture."
en,imgflip.com,
en,mongodb.com,"We're the creators of MongoDB, the most popular database for modern apps, and MongoDB Atlas, the global cloud database on AWS, Azure, and GCP. Easily organize, use, and enrich data — in real time, anywhere."
en,monster.com,"Monster is your source for jobs and career opportunities. Search for jobs, read career advice from Monster's job experts, and find hiring and recruiting advice."
fr,montblanc.com,"Découvrez l'univers Montblanc: des stylos et montres de luxe, des bijoux et des pièces de maroquinerie à la beauté intemporelle."
en,nordcloud.com,
en,notion.so,A new tool that blends your everyday work apps into one. It's the all-in-one workspace for you and your team
fr,operadeparis.fr,"Le Palais Garnier, l’Opéra Bastille et la 3e Scène. Programmation, Billetterie, Informations pratiques."
en,optinmonster.com,Powerful lead generation software that converts abandoning visitors into subscribers with our dynamic marketing tools and Exit Intent® technology.
en,ouest-france.fr,
fr,parismatch.com,"Découvrez le site de Paris Match ! Tous les jours, retrouvez l'actualité nationale et internationale, l'actualité de vos people préférés mais également les..."
en,partouche.com,
fr,pourlascience.fr,"Des articles de fond signés par les meilleurs chercheurs en physique, astronomie, biologie, mathématiques, géosciences, neurosciences..."
en,producthunt.com,
en,proto.io,Create fully-interactive high-fidelity prototypes that look and work exactly like your app should. No coding required. Free 15 day full-featured trial.
en,rapha.cc,
en,realfavicongenerator.net,
en,regus.fr,
en,reverb.chat,"Get personal, send reverbs."
fr,rustica.fr,"Rustica vous propose des idées pour embellir votre jardin et cultiver votre potager, pour bien associer les plantes, pour l'aménager dans le respect du dével..."
en,samanthaming.com,"Weekly goodness of JavaScript, HTML, CSS tidbits and the programming journey of a frontend developer!"
en,sddan.com,
en,selligent.com,Selligent Marketing Cloud is a sophisticated B2C marketing platform that empowers ambitious relationship marketers to maximize every moment they engage with consumers.
en,semrush.com,
fr,sfr.fr,"Découvrez nos offres Mobile, Internet Fibre et ADSL, et les meilleurs contenus TV, Sport, Presse. SFR.FR évolue, découvrez notre nouveau site !"
en,sitepoint.com,"Learn Web Design & Development with SitePoint tutorials, courses and books - HTML5, CSS3, JavaScript, PHP, mobile app development, Responsive Web Design"
fr,skema-bs.fr,"SKEMA Business School SKEMA, école de commerce internationale propose un large choix de programmes : Bachelors, Mastères Spécialisés, Masters of science, MBA..."
en,slack.com,"Slack is where work flows. It's where the people you need, the information you share, and the tools you use come together to get things done."
en,smartmockups.com,
en,sondoramarketing.com,SONDORA is a Digital Marketing Agency serving companies in US/EU/CH. We help Businesses to Generate Revenue Consistently and Predictably. Free Consultation.
fr,spotify.com,Spotify est un service de musique qui vous donne accès à des millions de titres.
en,stackabuse.com,
en,statista.com,"Find statistics, consumer survey results and industry studies from over 22,500 sources on over 60,000 topics on the internet&#39;s leading statistics database"
fr,sudouest.fr,"Retrouvez l'actualité du Sud Ouest en direct et toutes les informations régionales : politique, économie, sport, photos et vidéos."
en,talent.io,Get the tech job you deserve
en,techcrunch.com,
en,teespring.com,
en,theposterclub.com,"Curated selection of posters and art prints from various artists, designers, photographers and other creatives — Worldwide shipping!"
fr,theschoolab.com,"Nous révelons les potentiels humains pour créer et nourrir l'innovation dans les Entreprises. Nous le faisons depuis 15 ans à travers des projets concrets, collaboratifs et impactants."
fr,thierryvanoffe.com,"Exploitez tout le potentiel de GSuite au sein de votre entreprise grâce aux tutoriels, conseils et aux autres ressources de NumeriBlog"
en,thoughtcatalog.com,Thought Catalog is a digital youth culture magazine dedicated to your stories and ideas.
en,tomsguide.fr,
it,tonki.com,"Stampiamo le tue fotografie su Tonki, un quadro di cartone riciclato che renderà unica ogni tua immagine."
en,toogoodtogo.com,
fr,topito.com,Magazine d'actu et de divertissement au regard décalé. Vous aimez les tops listes et les classements ? Vous allez aimer Topito !
en,trello.com,"Infinitely flexible. Incredibly easy to use. Great mobile apps. It's free. Trello keeps track of everything, from the big picture to the minute details."
en,tricount.com,"Tricount is the solution for organizing group expenses on the web, iPhone and Android. Perfect for trips, holidays, meals or sharing flat expenses with roommates!"
fr,truffaut.com,"Nos jardineries Truffaut vous accompagnent dans les univers du jardin, des animaux et de la maison. Découvrez un large choix de produits vendus en ligne et en magasin. Réalisez tous vos projets grâce à nos services et conseils personnalisés !"
en,tue.nl,Eindhoven University of Technology (TU/e) is a research university specializing in engineering science & technology.
en,udemy.com,
en,unito.io,
en,upday news for samsung,
en,urbansportsclub.fr,
en,valeursactuelles.com,
en,vectary.com,Turn ideas into a 3D design with this easy-to-use online 3D modeling software. Start for free with a complete set of tools including real-time rendering and models library.
en,venngage.com,Join over 1 million people creating their own professional graphics with our easy to use infographic maker. Sign up for free and choose from 1000+ infographic templates.
fr,ventealapropriete.com,"Leader des sites 100% vin et champagne, Ventealapropriete.com vous propose les meilleures bouteilles et cuvées au meilleur prix lors de ses ventes privées."
en,vimeo.com,"Join the world’s leading professional video platform and grow your business with easy-to-use, high-quality video creation, hosting, and marketing tools."
en,welcomekit.co,"Welcome Kit is an ATS, or Applicant Tracking System. Using a SaaS model, it helps recruiters manage their applicant workflow, recruitment process and career"
fr,welcometothejungle.com,"Welcome to the Jungle est le guide qui vous accompagne dans votre recherche d'emploi : découvrez en photos et vidéos la culture des meilleures entreprises où postuler. Toutes leurs offres d'emploi CDI et CDD, stage, apprentissage et alternance."
en,wetransfer.com,WeTransfer is the simplest way to send your files around the world. Share large files up to 2GB for free.
en,wiley.com,
fr,wizbii.com,"Trouvez votre stage, votre job facilement. Votre carrière démarre sur Wizbii."
en,zeroqode.com,"No-code app templates & plugins for Bubble, courses, backends, webview packages for native apps. Now you can build apps without code even faster"
